HOSPITAL_LOCATION_ID,PRODUCT_NUMBER,SUBSEQUENT_ORDER_QUANTITY,SUBSEQUENT_DELIVERY_QUANTITY,ORIGINAL_ORDER_QUANTITY,ORIGINAL_DELIVERY_QUANTITY,ENTRY_DATE,SUBSEQUENT_ORDER_DATE,LOST_QUANTITY,DAYS_BETWEEN_ORDERS
14481.0,91488,8,8,5,5,2022-12-27,2023-01-30,0,34
14481.0,97403,10,10,4,4,2023-01-30,2023-02-27,0,28
14481.0,367012,3,3,1,1,2023-01-30,2023-02-27,0,28
14481.0,374025,1,1,1,1,2022-12-27,2023-01-30,0,34
14481.0,4520400,2,2,2,2,2022-12-14,2022-12-27,0,13
14481.0,4520400,5,5,2,2,2022-12-14,2023-01-30,0,47
14481.0,4520400,5,5,2,2,2022-12-27,2023-01-30,0,34
14481.0,4907400,6,6,8,0,2022-12-27,2023-01-30,8,34
14481.0,5307401,5,0,8,0,2022-12-28,2023-01-11,8,14
14481.0,5307401,10,0,8,0,2022-12-28,2023-01-30,8,33
14481.0,5307401,8,0,8,0,2022-12-14,2022-12-28,8,14
14481.0,5307401,5,5,8,0,2022-12-14,2022-12-27,8,13
14481.0,5307401,10,0,8,0,2022-12-14,2022-12-27,8,13
14481.0,5307401,5,0,8,0,2022-12-14,2023-01-11,8,28
14481.0,5307401,10,0,8,0,2022-12-14,2023-01-30,8,47
14481.0,5307401,8,0,5,5,2022-12-27,2022-12-28,0,1
14481.0,5307401,5,0,5,5,2022-12-27,2023-01-11,0,15
14481.0,5307401,10,0,5,5,2022-12-27,2023-01-30,0,34
14481.0,5307401,8,0,10,0,2022-12-27,2022-12-28,10,1
14481.0,5307401,5,0,10,0,2022-12-27,2023-01-11,10,15
14481.0,5307401,10,0,10,0,2022-12-27,2023-01-30,10,34
14481.0,5307401,8,0,10,0,2022-12-14,2022-12-28,10,14
14481.0,5307401,5,5,10,0,2022-12-14,2022-12-27,10,13
14481.0,5307401,10,0,10,0,2022-12-14,2022-12-27,10,13
14481.0,5307401,5,0,10,0,2022-12-14,2023-01-11,10,28
14481.0,5307401,10,0,10,0,2022-12-14,2023-01-30,10,47
14481.0,5307401,10,0,5,0,2023-01-11,2023-01-30,5,19
14481.0,5307401,10,0,5,0,2023-01-11,2023-02-27,5,47
14481.0,5307401,10,0,10,0,2023-01-30,2023-02-27,10,28
14481.0,5482401,10,10,10,10,2023-01-30,2023-02-27,0,28
14481.0,6598405,10,10,8,8,2023-01-30,2023-02-27,0,28
14481.0,6623400,4,4,4,0,2022-12-27,2023-01-11,4,15
14481.0,6623400,4,4,4,0,2022-12-27,2023-01-30,4,34
14481.0,6623400,4,4,4,4,2023-01-11,2023-01-30,0,19
14578.0,91488,2,2,2,2,2023-01-12,2023-03-06,0,53
14578.0,97403,4,4,4,4,2023-01-12,2023-03-06,0,53
14578.0,6179403,2,2,2,2,2023-01-12,2023-03-06,0,53
14578.0,8720774,2,2,2,2,2023-01-12,2023-01-25,0,13
14578.0,8740012,10,10,2,2,2023-01-25,2023-03-06,0,40
14578.0,8740012,2,2,2,2,2023-01-12,2023-01-25,0,13
14578.0,8740012,10,10,2,2,2023-01-12,2023-03-06,0,53
14578.0,9511404,1,1,1,1,2023-01-12,2023-03-06,0,53
17104.0,62349,2,2,2,0,2023-02-17,2023-02-23,2,6
17363.0,91488,3,3,2,2,2022-12-28,2023-01-25,0,28
17363.0,91488,3,3,3,3,2023-01-25,2023-02-27,0,33
17363.0,91488,3,3,3,3,2023-01-25,2023-03-15,0,49
17363.0,91488,3,3,3,3,2023-02-27,2023-03-15,0,16
17363.0,4520400,2,2,1,1,2022-12-27,2023-02-02,0,37
17363.0,5480405,4,4,4,4,2022-12-27,2023-02-02,0,37
17363.0,5480405,5,5,4,4,2023-02-02,2023-02-27,0,25
18049.0,91488,2,2,2,2,2023-02-02,2023-03-08,0,34
18049.0,97403,2,2,2,2,2023-02-02,2023-03-08,0,34
18049.0,5148409,4,4,2,2,2023-02-02,2023-03-08,0,34
18049.0,5148409,4,4,2,2,2023-01-12,2023-03-08,0,55
18049.0,5148409,2,2,2,2,2023-01-12,2023-02-02,0,21
18049.0,5482401,2,2,2,2,2023-02-02,2023-03-08,0,34
18049.0,5482401,2,2,2,2,2023-01-12,2023-03-08,0,55
18049.0,5482401,2,2,2,2,2023-01-12,2023-02-02,0,21
18049.0,6598405,3,3,1,1,2023-01-12,2023-03-08,0,55
18241.0,97403,14,14,12,12,2022-12-27,2023-01-17,0,21
18424.0,504010,4,4,4,0,2023-01-10,2023-01-25,4,15
18424.0,504010,4,4,4,0,2023-01-10,2023-01-25,4,15
18424.0,505018,8,8,8,0,2023-01-10,2023-01-25,8,15
18424.0,505018,8,8,8,0,2023-01-10,2023-01-25,8,15
18578.0,246034,1,1,1,0,2023-02-07,2023-02-11,1,4
19059.0,5406,3,3,3,0,2023-02-28,2023-03-03,3,3
19059.0,390021,2,2,1,1,2023-01-30,2023-02-28,0,29
19059.0,1AB2190,1,1,1,0,2022-12-24,2023-01-30,1,37
20529.0,2128396,20,20,10,10,2022-12-07,2022-12-28,0,21
20968.0,829053,1,1,1,1,2023-02-15,2023-03-02,0,15
20968.0,830019,5,5,1,1,2023-02-15,2023-03-02,0,15
21679.0,504010,11,11,11,0,2023-02-24,2023-03-27,11,31
21679.0,505018,28,28,28,0,2023-02-24,2023-03-27,28,31
21840.0,505018,6,6,6,6,2023-02-01,2023-02-24,0,23
21978.0,311191,1,1,1,0,2022-12-29,2023-01-11,1,13
21978.0,355017,1,1,1,0,2022-12-29,2023-01-11,1,13
22140.0,8720774,2,2,2,0,2023-01-12,2023-02-13,2,32
23119.0,91488,6,6,6,6,2022-12-27,2023-02-13,0,48
23119.0,91488,6,6,2,2,2022-12-08,2022-12-27,0,19
23119.0,91488,10,10,6,6,2023-02-13,2023-03-13,0,28
23119.0,4907400,10,10,10,10,2023-02-13,2023-03-13,0,28
23119.0,5307401,6,0,4,0,2022-12-27,2023-01-20,4,24
23119.0,5307401,10,0,4,0,2022-12-27,2023-02-13,4,48
23119.0,5307401,7,0,4,0,2022-12-27,2023-02-14,4,49
23119.0,5307401,4,0,6,0,2022-12-08,2022-12-27,6,19
23119.0,5307401,6,0,6,0,2022-12-08,2023-01-20,6,43
23119.0,5307401,10,0,6,0,2023-01-20,2023-02-13,6,24
23119.0,5307401,7,0,6,0,2023-01-20,2023-02-14,6,25
23119.0,5307401,10,0,6,0,2023-01-20,2023-03-13,6,52
23119.0,5307401,7,0,10,0,2023-02-13,2023-02-14,10,1
23119.0,5307401,10,0,10,0,2023-02-13,2023-03-13,10,28
23119.0,5307401,10,0,7,0,2023-02-14,2023-03-13,7,27
23119.0,5482401,8,8,8,8,2023-02-13,2023-03-13,0,28
23119.0,6598405,5,0,5,5,2023-02-13,2023-03-13,0,28
23119.0,6598405,10,10,5,5,2023-02-13,2023-03-16,0,31
23119.0,6598405,10,10,5,0,2023-03-13,2023-03-16,5,3
23212.0,97403,3,3,2,2,2023-01-12,2023-02-03,0,22
23212.0,97403,5,5,3,3,2023-02-03,2023-03-16,0,41
23212.0,6598405,3,3,2,2,2023-01-12,2023-02-03,0,22
23896.0,504010,1,1,1,0,2023-03-02,2023-03-16,1,14
24081.0,91488,8,8,5,5,2022-12-13,2023-02-03,0,52
24081.0,372011,12,12,10,10,2022-12-13,2023-02-03,0,52
24081.0,390021,12,12,10,10,2022-12-13,2023-02-03,0,52
24081.0,9511404,8,8,8,8,2022-12-13,2023-02-03,0,52
24126.0,504010,4,4,2,2,2023-01-16,2023-02-17,0,32
24126.0,505018,8,8,6,6,2023-01-16,2023-02-17,0,32
24126.0,570094,1,1,1,1,2023-01-16,2023-02-17,0,32
24194.0,8720790,8,8,1,1,2022-12-05,2022-12-27,0,22
24280.0,91488,6,6,2,2,2023-01-16,2023-03-10,0,53
24280.0,1105403,6,6,6,6,2023-01-16,2023-03-10,0,53
24280.0,1240407,2,0,4,0,2023-01-16,2023-03-10,4,53
24280.0,1426585,1,1,1,1,2023-01-16,2023-03-10,0,53
24280.0,5482401,8,8,4,4,2023-01-16,2023-03-10,0,53
24972.0,526014,1,1,1,1,2022-12-22,2023-02-06,0,46
24972.0,535015,1,1,1,1,2022-12-22,2023-02-06,0,46
24972.0,541012,1,1,1,1,2022-12-22,2023-02-06,0,46
24972.0,544016,3,3,3,0,2022-12-22,2023-02-06,3,46
24972.0,545014,2,2,2,0,2022-12-22,2023-02-06,2,46
24972.0,546012,1,1,1,0,2022-12-22,2023-02-06,1,46
24972.0,547010,1,1,1,0,2022-12-22,2023-02-06,1,46
24972.0,556011,5,5,5,0,2022-12-22,2023-02-06,5,46
24972.0,557019,5,5,5,0,2022-12-22,2023-02-06,5,46
24972.0,559015,10,10,10,0,2022-12-22,2023-02-06,10,46
24972.0,631078,4,4,2,2,2022-12-22,2023-02-06,0,46
24972.0,631078,6,6,2,2,2022-12-22,2023-02-20,0,60
24972.0,631078,6,6,4,4,2023-02-06,2023-02-20,0,14
24972.0,631086,4,4,3,3,2022-12-22,2023-02-20,0,60
24972.0,661018,2,2,2,0,2022-12-22,2023-02-06,2,46
24972.0,662016,3,3,3,0,2022-12-22,2023-02-06,3,46
24972.0,663014,3,3,3,0,2022-12-22,2023-02-06,3,46
24972.0,666018,15,15,15,0,2022-12-22,2023-02-06,15,46
24972.0,692054,4,4,4,0,2022-12-22,2023-02-06,4,46
24972.0,795015,3,3,3,0,2022-12-22,2023-02-06,3,46
24972.0,9039059,2,2,2,0,2022-12-22,2023-02-06,2,46
25400.0,437047,1,0,1,1,2023-01-13,2023-02-14,0,32
25508.0,705014,1,1,1,0,2023-01-09,2023-01-30,1,21
25508.0,8740012,4,4,4,0,2023-01-09,2023-02-01,4,23
25594.0,89400,10,10,10,10,2023-01-13,2023-01-24,0,11
25594.0,367012,2,2,1,1,2023-01-13,2023-01-24,0,11
25594.0,5482401,5,0,10,0,2023-01-13,2023-01-24,10,11
25594.0,1AA0004,2,2,2,2,2023-01-13,2023-01-24,0,11
25594.0,1AB2691,2,2,2,2,2023-01-13,2023-01-24,0,11
25594.0,1AB2692,3,3,3,3,2023-01-13,2023-01-24,0,11
25840.0,8720774,2,2,2,0,2023-01-06,2023-02-15,2,40
25840.0,8720790,2,2,2,2,2023-01-06,2023-02-15,0,40
26014.0,571415,1,1,1,1,2023-02-08,2023-03-15,0,35
26024.0,91488,20,20,16,16,2023-01-05,2023-02-28,0,54
26455.0,89400,12,12,12,12,2023-01-16,2023-02-20,0,35
26455.0,89400,12,0,12,12,2023-01-16,2023-02-10,0,25
26455.0,89400,12,12,12,0,2023-02-10,2023-02-20,12,10
26455.0,367012,1,1,1,1,2023-01-16,2023-02-10,0,25
26455.0,4520400,3,3,2,2,2023-01-16,2023-02-10,0,25
26455.0,4520400,3,3,2,2,2023-01-16,2023-03-07,0,50
26455.0,4520400,3,3,3,3,2023-02-10,2023-03-07,0,25
26455.0,5307401,5,0,4,0,2023-01-20,2023-02-21,4,32
26455.0,5307401,4,0,4,0,2023-01-16,2023-01-20,4,4
26455.0,5307401,5,0,4,0,2023-01-16,2023-02-21,4,36
26455.0,5482401,6,6,6,6,2023-01-16,2023-02-10,0,25
26455.0,6598405,2,2,2,2,2023-01-16,2023-02-10,0,25
26455.0,6598405,4,4,2,2,2023-01-16,2023-03-07,0,50
26455.0,6598405,4,4,2,2,2023-02-10,2023-03-07,0,25
26922.0,504010,1,1,1,1,2023-01-04,2023-02-27,0,54
26922.0,505018,3,3,2,2,2023-01-04,2023-02-27,0,54
27118.0,1426585,2,2,2,0,2023-02-01,2023-02-08,2,7
27389.0,24406,2,2,2,2,2022-12-24,2023-02-22,0,60
27389.0,1240407,3,0,4,0,2022-12-24,2023-02-22,4,60
27389.0,5482401,10,10,2,2,2023-02-22,2023-03-08,0,14
27389.0,8717714,5,5,1,1,2022-12-24,2023-02-22,0,60
27423.0,62349,18,18,7,7,2022-12-27,2023-02-10,0,45
27425.0,8720790,10,10,7,7,2023-01-24,2023-02-23,0,30
27426.0,364026,19,19,3,3,2023-01-05,2023-03-02,0,56
27426.0,6623400,2,2,2,2,2023-01-05,2023-03-02,0,56
27531.0,504010,3,3,2,2,2023-01-03,2023-02-26,0,54
27531.0,505018,11,11,5,5,2023-01-03,2023-02-26,0,54
27537.0,504010,3,3,2,2,2023-02-16,2023-03-02,0,14
27537.0,505018,6,6,4,4,2023-02-16,2023-03-02,0,14
27645.0,91488,3,3,3,3,2022-12-27,2023-01-31,0,35
27645.0,91488,4,4,3,3,2023-01-31,2023-03-01,0,29
27645.0,5480405,8,8,2,2,2022-12-29,2023-02-13,0,46
27645.0,5480405,5,5,2,2,2022-12-29,2023-02-08,0,41
27645.0,5480405,8,8,5,5,2023-02-08,2023-02-13,0,5
27645.0,5482401,3,3,3,3,2023-01-31,2023-03-01,0,29
27653.0,91488,8,8,4,4,2023-01-16,2023-02-10,0,25
27653.0,233023,1,1,1,1,2023-01-16,2023-02-10,0,25
27653.0,3704138,10,10,6,6,2023-01-16,2023-02-10,0,25
27653.0,6598405,5,5,4,4,2023-01-16,2023-02-10,0,25
27807.0,25628,11,11,11,0,2022-12-14,2023-01-20,11,37
27807.0,25628,10,10,11,0,2022-12-14,2023-01-25,11,42
27807.0,91488,10,10,9,9,2022-12-02,2023-01-13,0,42
27807.0,91488,10,10,6,0,2023-01-03,2023-02-24,6,52
27807.0,91488,10,10,6,0,2023-01-03,2023-01-13,6,10
27807.0,91488,10,10,10,10,2023-01-13,2023-02-24,0,42
27807.0,97403,6,6,15,0,2023-01-03,2023-01-13,15,10
27807.0,97403,15,15,15,0,2023-01-03,2023-02-24,15,52
27807.0,97403,15,15,15,0,2023-01-03,2023-02-06,15,34
27807.0,97403,15,0,15,0,2023-01-03,2023-01-13,15,10
27807.0,97403,15,15,6,6,2023-01-13,2023-02-24,0,42
27807.0,97403,15,15,6,6,2023-01-13,2023-02-06,0,24
27807.0,97403,15,15,15,15,2023-02-06,2023-02-24,0,18
27807.0,97403,15,15,15,0,2023-01-13,2023-02-24,15,42
27807.0,97403,15,15,15,0,2023-01-13,2023-02-06,15,24
27807.0,309170,1,1,1,1,2023-01-03,2023-02-24,0,52
27807.0,309170,1,1,1,1,2023-01-03,2023-01-13,0,10
27807.0,309170,1,1,1,1,2023-01-13,2023-02-24,0,42
27807.0,365016,1,0,1,1,2023-01-03,2023-02-24,0,52
27807.0,365016,1,1,1,1,2023-01-03,2023-02-28,0,56
27807.0,365016,1,1,1,0,2023-02-24,2023-02-28,1,4
27807.0,373019,2,0,2,2,2023-01-03,2023-02-24,0,52
27807.0,373019,2,2,2,2,2023-01-03,2023-02-28,0,56
27807.0,373019,2,2,2,0,2023-02-24,2023-02-28,2,4
27807.0,374025,2,0,2,2,2023-01-03,2023-02-28,0,56
27807.0,374025,2,0,1,0,2023-02-24,2023-02-28,1,4
27807.0,378019,1,0,1,1,2023-01-03,2023-02-24,0,52
27807.0,378019,1,1,1,1,2023-01-03,2023-02-28,0,56
27807.0,378019,1,1,1,0,2023-02-24,2023-02-28,1,4
27807.0,387028,2,2,1,1,2023-01-03,2023-02-24,0,52
27807.0,387028,1,1,1,1,2023-01-03,2023-01-13,0,10
27807.0,387028,2,2,1,1,2023-01-13,2023-02-24,0,42
27807.0,387036,1,0,1,1,2023-01-03,2023-02-24,0,52
27807.0,387036,1,1,1,1,2023-01-03,2023-02-28,0,56
27807.0,387036,1,1,1,0,2023-02-24,2023-02-28,1,4
27807.0,388018,1,0,1,1,2023-01-03,2023-02-24,0,52
27807.0,388018,1,0,1,1,2023-01-03,2023-02-28,0,56
27807.0,388018,1,0,1,0,2023-02-24,2023-02-28,1,4
27807.0,2305135,19,19,8,8,2023-01-13,2023-02-24,0,42
27807.0,2305135,8,8,11,0,2023-01-03,2023-01-13,11,10
27807.0,2305135,19,19,11,0,2023-01-03,2023-02-24,11,52
27807.0,2305135,11,11,11,0,2023-01-03,2023-01-13,11,10
27807.0,2305135,19,19,11,11,2023-01-13,2023-02-24,0,42
27807.0,4520400,4,4,4,4,2023-01-03,2023-02-24,0,52
27807.0,5307401,30,0,20,0,2022-12-05,2022-12-14,20,9
27807.0,5307401,40,0,20,0,2022-12-05,2023-01-13,20,39
27807.0,5307401,50,0,20,0,2022-12-05,2023-01-03,20,29
27807.0,5307401,50,0,20,0,2022-12-05,2023-01-13,20,39
27807.0,5307401,4,0,20,0,2022-12-05,2023-01-27,20,53
27807.0,5307401,40,0,30,0,2022-12-14,2023-01-13,30,30
27807.0,5307401,50,0,30,0,2022-12-14,2023-01-03,30,20
27807.0,5307401,50,0,30,0,2022-12-14,2023-01-13,30,30
27807.0,5307401,4,0,30,0,2022-12-14,2023-01-27,30,44
27807.0,5307401,50,0,40,0,2023-01-13,2023-02-24,40,42
27807.0,5307401,50,0,40,0,2023-01-13,2023-02-28,40,46
27807.0,5307401,4,0,40,0,2023-01-13,2023-01-27,40,14
27807.0,5307401,40,0,50,0,2023-01-03,2023-01-13,50,10
27807.0,5307401,50,0,50,0,2023-01-03,2023-02-24,50,52
27807.0,5307401,50,0,50,0,2023-01-03,2023-01-13,50,10
27807.0,5307401,50,0,50,0,2023-01-03,2023-02-28,50,56
27807.0,5307401,4,0,50,0,2023-01-03,2023-01-27,50,24
27807.0,5307401,50,0,50,0,2023-02-24,2023-02-28,50,4
27807.0,5307401,50,0,50,0,2023-01-13,2023-02-24,50,42
27807.0,5307401,50,0,50,0,2023-01-13,2023-02-28,50,46
27807.0,5307401,4,0,50,0,2023-01-13,2023-01-27,50,14
27807.0,5307401,50,0,4,0,2023-01-27,2023-02-24,4,28
27807.0,5307401,50,0,4,0,2023-01-27,2023-02-28,4,32
27807.0,5482401,35,35,24,24,2023-01-03,2023-02-24,0,52
27807.0,5482401,35,35,1,1,2023-01-13,2023-02-24,0,42
27807.0,5482401,10,10,1,1,2023-01-13,2023-02-17,0,35
27807.0,5482401,35,35,10,10,2023-02-17,2023-02-24,0,7
27807.0,6598405,19,19,10,10,2023-01-03,2023-02-24,0,52
27807.0,6598405,10,10,10,10,2023-01-03,2023-01-13,0,10
27807.0,6598405,19,19,10,10,2023-01-13,2023-02-24,0,42
27807.0,6623400,10,10,10,10,2023-01-03,2023-02-24,0,52
28301.0,617011,2,2,1,1,2023-02-08,2023-03-21,0,41
28408.0,504010,4,4,2,2,2023-01-03,2023-01-12,0,9
28408.0,504010,3,3,2,2,2023-01-03,2023-02-13,0,41
28408.0,505018,8,8,4,4,2023-01-03,2023-01-12,0,9
28408.0,505018,6,6,4,4,2023-01-03,2023-02-13,0,41
28602.0,91488,3,3,2,0,2023-01-20,2023-02-24,2,35
28602.0,4520400,2,2,1,1,2023-01-20,2023-02-24,0,35
28602.0,5483409,2,2,2,2,2023-01-20,2023-02-24,0,35
28616.0,91488,2,2,2,2,2023-02-20,2023-03-22,0,30
28616.0,233023,1,1,1,1,2023-01-05,2023-01-25,0,20
28616.0,3704138,4,4,4,4,2023-01-25,2023-02-20,0,26
28616.0,5482401,10,10,10,10,2023-01-05,2023-02-20,0,46
28616.0,5482401,8,8,4,4,2023-01-25,2023-03-22,0,56
28616.0,5482401,10,10,4,4,2023-01-25,2023-02-20,0,26
28616.0,5488409,2,2,2,2,2023-02-20,2023-03-22,0,30
28669.0,14407,2,2,4,0,2023-01-30,2023-03-22,4,51
28669.0,4064408,2,2,2,0,2023-01-30,2023-03-22,2,51
28669.0,4520400,1,1,1,1,2023-01-30,2023-03-22,0,51
28669.0,5483409,2,2,2,0,2023-01-30,2023-03-22,2,51
28669.0,5483409,2,2,4,0,2023-01-30,2023-03-22,4,51
29164.0,5406,2,0,2,2,2023-01-10,2023-01-23,0,13
29164.0,11403,2,0,2,0,2023-01-10,2023-01-23,2,13
29164.0,97403,2,0,2,2,2023-01-10,2023-01-23,0,13
29164.0,365016,2,0,1,0,2023-01-10,2023-01-23,1,13
29164.0,367012,2,0,1,1,2023-01-10,2023-01-23,0,13
29164.0,369026,2,0,1,1,2023-01-10,2023-01-23,0,13
29164.0,9511404,2,0,2,2,2023-01-10,2023-01-23,0,13
29164.0,1AA0004,2,0,1,1,2023-01-10,2023-01-23,0,13
29300.0,91488,12,12,12,12,2023-01-06,2023-02-10,0,35
29300.0,2305135,14,14,10,10,2023-01-06,2023-02-28,0,53
29300.0,2305135,14,14,10,10,2023-01-06,2023-02-10,0,35
29300.0,2305135,14,14,4,4,2023-01-06,2023-02-28,0,53
29300.0,2305135,14,14,4,4,2023-01-06,2023-02-10,0,35
29300.0,2305135,14,14,14,14,2023-02-10,2023-02-28,0,18
29300.0,4907400,20,20,17,17,2023-02-21,2023-02-28,0,7
29300.0,4907400,20,20,20,20,2023-01-06,2023-02-28,0,53
29300.0,4907400,20,20,3,3,2023-02-10,2023-02-28,0,18
29300.0,4907400,17,17,3,3,2023-02-10,2023-02-21,0,11
29300.0,5482401,20,20,5,5,2022-12-19,2023-01-06,0,18
29300.0,5482401,20,20,5,5,2022-12-19,2023-02-10,0,53
29300.0,5482401,5,5,5,5,2023-02-28,2023-03-04,0,4
